-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1
-1, 100, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, 24, -1, -1, -1, -1, -1, -1, -1
-1, 60, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, 1, -1, 12, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1
150, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, -1
125, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 25, 100
-1, -1, -1, -1, -1, 19, -1, -1, -1, -1, -1, -1, -1
230, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, 110, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
